"","artist_name","album_name","track_id","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_ms","track_name","key_name","mode_name","key_mode","popularity"
"1","Serdar Ortaç","Cımbız","1fHrsv1UkFwH4Fq64b20oF","2017-10-16",0.703,0.93,0,-5.02,0,0.0491,0.14,7.89e-06,0.338,0.802,99.988,4,216629,"Cımbız","C","minor","C minor",41
"2","Serdar Ortaç","Cımbız","5vZg0OnpPtQdu8YRXOiNCy","2017-10-16",0.726,0.846,6,-5.602,0,0.0798,0.224,0,0.0583,0.81,99.964,4,219316,"Havalı Yarim","F#","minor","F# minor",44
"3","Serdar Ortaç","Cımbız","2ANRNU14zX92PqJtacJxt7","2017-10-16",0.709,0.844,5,-5.503,0,0.0485,0.0603,0.0145,0.0769,0.845,129.987,4,246674,"Posta Güvercini","F","minor","F minor",26
"4","Serdar Ortaç","Cımbız","51RXJxkPI5m519ZqzBOYvW","2017-10-16",0.639,0.907,7,-5.915,0,0.0423,0.0314,0.000149,0.0837,0.892,130.025,4,262970,"Bir Eşin Yok","G","minor","G minor",28
"5","Serdar Ortaç","Cımbız","2sToxDXVCVLdkZDzqsv3kE","2017-10-16",0.294,0.747,5,-6.54,0,0.0985,0.525,0,0.442,0.665,83.937,4,327595,"Bırakın","F","minor","F minor",21
"6","Serdar Ortaç","Cımbız","3OKe90UxhsVfkxF52mxGKc","2017-10-16",0.703,0.811,3,-6.158,0,0.0359,0.183,1.55e-05,0.0859,0.89,106.036,4,200205,"Tetik","D#","minor","D# minor",22
"7","Serdar Ortaç","Cımbız","4wQGyQyc5L6FhwOXi3QyWP","2017-10-16",0.695,0.866,2,-6.183,1,0.0334,0.00721,0.0137,0.182,0.912,128.024,4,223700,"Zil Zurna","D","major","D major",20
"8","Serdar Ortaç","Cımbız","4RemaRrT9TRWQMeI8gl02m","2017-10-16",0.725,0.887,7,-5.066,0,0.0443,0.336,3.91e-05,0.134,0.894,102.005,4,201450,"İsmin Silinir","G","minor","G minor",22
"9","Serdar Ortaç","Cımbız","3AYrnsl7ljqD6h6xx3QRZn","2017-10-16",0.697,0.918,7,-5.515,0,0.0622,0.0739,0,0.179,0.703,122.959,4,190072,"Marka","G","minor","G minor",18
"10","Serdar Ortaç","Cımbız","5UBb1YnYrtz8U803Hw3UCr","2017-10-16",0.73,0.773,3,-6.699,0,0.0395,0.0196,1.13e-05,0.0974,0.847,131.956,4,279638,"Tilki","D#","minor","D# minor",20
"11","Serdar Ortaç","Cımbız","1hrgtLU9fLqejYCjzCi7JB","2017-10-16",0.634,0.795,10,-5.329,0,0.0943,0.174,1.42e-05,0.0751,0.897,103.934,4,215562,"Yaklaş","A#","minor","A# minor",19
"12","Serdar Ortaç","Cımbız","7eLvPiZmZ2ncyDcGteZWQJ","2017-10-16",0.478,0.755,4,-6.867,0,0.044,0.169,0,0.348,0.538,155.909,4,296501,"Adamın Dibi","E","minor","E minor",19
"13","Serdar Ortaç","Cımbız","29YRqUc8RYAFp7U6dmZsJI","2017-10-16",0.703,0.93,0,-5.02,0,0.0491,0.14,7.89e-06,0.338,0.802,99.988,4,216629,"Cımbız","C","minor","C minor",29
"14","Serdar Ortaç","Cımbız","26tzpu2fsfUWPKE04Rzu7c","2017-10-16",0.726,0.846,6,-5.602,0,0.0798,0.224,0,0.0583,0.81,99.964,4,219316,"Havalı Yarim","F#","minor","F# minor",32
"15","Serdar Ortaç","Cımbız","5luNQb0qDI4u4PGJ8ffBYV","2017-10-16",0.709,0.844,5,-5.503,0,0.0485,0.0603,0.0145,0.0769,0.845,129.987,4,246674,"Posta Güvercini","F","minor","F minor",15
"16","Serdar Ortaç","Cımbız","4Fq3qHR4wU4U93uUbqaiPT","2017-10-16",0.639,0.907,7,-5.915,0,0.0423,0.0314,0.000149,0.0837,0.892,130.025,4,262970,"Bir Eşin Yok","G","minor","G minor",20
"17","Serdar Ortaç","Cımbız","53on1JhWrF81tFIwfiDnnE","2017-10-16",0.294,0.747,5,-6.54,0,0.0985,0.525,0,0.442,0.665,83.937,4,327595,"Bırakın","F","minor","F minor",10
"18","Serdar Ortaç","Cımbız","0e3P4ys3JwyfLrWUd8jMea","2017-10-16",0.703,0.811,3,-6.158,0,0.0359,0.183,1.55e-05,0.0859,0.89,106.036,4,200205,"Tetik","D#","minor","D# minor",15
"19","Serdar Ortaç","Cımbız","2LV7WH1SKJbjEctEfku2XR","2017-10-16",0.695,0.866,2,-6.183,1,0.0334,0.00721,0.0137,0.182,0.912,128.024,4,223700,"Zil Zurna","D","major","D major",12
"20","Serdar Ortaç","Cımbız","6L8haatX7gXFBaCKhPhuSm","2017-10-16",0.725,0.887,7,-5.066,0,0.0443,0.336,3.91e-05,0.134,0.894,102.005,4,201450,"İsmin Silinir","G","minor","G minor",13
"21","Serdar Ortaç","Cımbız","0IUX1lnjYhbW6C3SqcVrOZ","2017-10-16",0.697,0.918,7,-5.515,0,0.0622,0.0739,0,0.179,0.703,122.959,4,190072,"Marka","G","minor","G minor",9
"22","Serdar Ortaç","Cımbız","7n6sCTv41jHcC5yVtfe3hA","2017-10-16",0.73,0.773,3,-6.699,0,0.0395,0.0196,1.13e-05,0.0974,0.847,131.956,4,279638,"Tilki","D#","minor","D# minor",13
"23","Serdar Ortaç","Cımbız","6fIxDyNyizxg39j8JAfgVY","2017-10-16",0.634,0.795,10,-5.329,0,0.0943,0.174,1.42e-05,0.0751,0.897,103.934,4,215562,"Yaklaş","A#","minor","A# minor",15
"24","Serdar Ortaç","Cımbız","3ExUYhEcMyD1URMRkjIVmi","2017-10-16",0.478,0.755,4,-6.867,0,0.044,0.169,0,0.348,0.538,155.909,4,296501,"Adamın Dibi","E","minor","E minor",9
"25","Serdar Ortaç","Gıybet","72CeeGX1XgmrSfq8C9F7bK","2016-05-11",0.815,0.885,11,-5.52,0,0.0417,0.00651,0.369,0.0212,0.825,121.02,4,192240,"Gıybet","B","minor","B minor",50
"26","Serdar Ortaç","Gıybet","5nSq0wQibJyDExdSiRalOS","2016-05-11",0.753,0.916,11,-6.563,0,0.0478,0.000768,0.00299,0.192,0.885,126.977,4,207901,"Fakir","B","minor","B minor",21
"27","Serdar Ortaç","Gıybet","4TZ6qqrv0VvmB3Iv63lmKh","2016-05-11",0.646,0.946,7,-2.997,1,0.0373,0.302,0.000124,0.0811,0.846,98.004,4,215475,"Abi","G","major","G major",24
"28","Serdar Ortaç","Gıybet","40GqXwM2gIjveyfP8gQmMY","2016-05-11",0.667,0.919,8,-4.055,1,0.0583,0.0433,0.00012,0.165,0.905,114.981,4,241956,"Sulu Göz","G#","major","G# major",40
